fid,FUNCION_PR,SUBCATEGOR,ESTABLECIM,FUNCION_SE,PROGRAMACI,SUCURSAL,SALA,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,LATITUD,LONGITUD,TELEFONO,MAIL,WEB,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_C,OTRAS_REDE,CAPACIDAD_
413,BIBLIOTECA,POPULAR,BIBLIOTECA OBRERA JUAN B. JUSTO,,,,,LA PLATA AV. 85,LA PLATA AV.,85,CABALLITO,COMUNA 06,-34.616214311248072,-58.429116018028857,,,,,,,CONABIP,,,,,0
414,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - CIRCULO ARGENTINO DE ODONTOLOGIA,,,,,"ACEVEDO, EDUARDO 54","ACEVEDO, EDUARDO",54,CABALLITO,COMUNA 06,-34.615020253039226,-58.430875008650958,4901-9311 / 5488 INT. 101 FAX: (+54-11) 4903-7064,BIBLIOTECA@CAO.ORG.ARI,,,,,BIBLIOMED,,,,,0
415,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA COMISARIO ANTONIO BALLVE,,,,,ROSARIO 532,ROSARIO,532,CABALLITO,COMUNA 06,-34.619553942803321,-58.436402215471119,(011) 4902-4362,,,,,,,,,,,0
416,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA CIRUJANO MAYOR DR. PEDRO MALLO,,,,,PATRICIAS ARGENTINAS AV. 351,PATRICIAS ARGENTINAS AV.,351,CABALLITO,COMUNA 06,-34.604216640483195,-58.434819044819577,"4864-7899, 4863-4080 int 5523",INFO@HNPM.MIL.AR,WWW.HNPM.MIL.AR,,,,REBIFA,,,,,0
417,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA DR CARLOS CARDINI,,,,,PATRICIAS ARGENTINAS AV. 435,PATRICIAS ARGENTINAS AV.,435,CABALLITO,COMUNA 06,-34.604576113016947,-58.434234965616646,(011) 5238-7500. int 2021,BIBLIOTECA@LELOIR.ORG.AR,HTTP://WWW.LELOIR.ORG.AR/ES/ACERCA_DE_LA_BIBLIOTECA.HTML,,,,CAICYT,,,,,0
418,LIBRERIA,,EUDEBA PARQUE CENTENARIO,,,,,RAMOS MEJIA 841,RAMOS MEJIA,841,CABALLITO,COMUNA 06,-34.605908431774267,-58.432339576647543,,,,,,,,,,,,0
419,LIBRERIA,,LIBRO LIBRE,,,,,RAMOS MEJIA 827,RAMOS MEJIA,827,CABALLITO,COMUNA 06,-34.606086187010398,-58.432247487618007,4581-5699,librolibre@argentina.com,s/d,,,,,,,,,0
420,ESPACIO DE FORMACION,CENTRO CULTURAL DEL PCB,CENTRO CULTURAL LOLA MORA,,SI,,,RIO DE JANEIRO 946,RIO DE JANEIRO,946,CABALLITO,COMUNA 06,-34.604387899999999,-58.432035300000003,4983-5877 / 4862-7245,CCLOLAMORA@GMAIL.COM,HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP,,,,,,,,,0
421,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA ASOCIACION ARGENTINA AMIGOS DE LA ASTRONOMIA (ASARAMAS),,,,,AV. PATRICIAS ARGENTINAS 550,AV. PATRICIAS ARGENTINAS,550,CABALLITO,COMUNA 06,-34.604877840212374,-58.435039964936024,4863-3366,INFO@AMIGOSDELAASTRONOMIA.ORG,WWW.AMIGOSDELAASTRONOMIA.ORG/BIBLIOTECA,,,,,,,,,0
422,ESPACIO DE FORMACION,,INSTITUTO DE FORMACION TECNICA SUPERIOR N13 DE N8,,,,,ALBERDI. JUAN BAUTISTA AV. 163,ALBERDI. JUAN BAUTISTA AV.,163,CABALLITO,COMUNA 06,-34.622360100000002,-58.430153799999999,4901-6444,,,,,,,,,,,0
423,CENTRO CULTURAL,,MITAD DEL MUNDO,,,,,ROJAS 470,ROJAS,470,CABALLITO,COMUNA 06,-34.615420600000000,-58.443633699999999,3193-3271,ESPACIOMDM@GMAIL.COM,,WWW.FACEBOOK.COM/ESPACIOMDM/,,,,,,,,0
424,ESPACIO DE FORMACION,,LA OLA,,,,,Rivadavia AV 5420,AV. RIVADAVIA,5420,CABALLITO,COMUNA 06,-34.621197899999999,-58.443548100000001,4904-0704,INFO@ESCUELAOL.COM,http://escuelaola.com/contacto,,,,,,,,,50
425,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA GENERAL DOCTOR MANUEL BELGRANO,,,,,RIVADAVIA AV. 5550,RIVADAVIA AV.,5550,CABALLITO,COMUNA 06,-34.621630855640937,-58.443529488320067,"4432-3114 / 3127, Int. 139.",BIBLIOTECA@DAMASOCENTENO.EDU.AR,WWW.DAMASONLINE.COM.AR,,,,,,,,,0
426,LIBRERIA,,LECTURAS Y MELODIAS,,,,,"MITRE, EMILIO 431","MITRE, EMILIO",431,CABALLITO,COMUNA 06,-34.627413070000003,-58.443266790000003,,,,,,,,,,,,0
427,LIBRERIA,,LIBRERIA EL GAUCHO,,,NEUQUEN,,NEUQUEN 765,NEUQUEN,765,CABALLITO,COMUNA 06,-34.615889989999999,-58.442545350000003,,,,,,,,,,,,0
428,CALESITA,,CALESITA ESTACION CABALLITO,,,,,ROJAS,ROJAS,,CABALLITO,COMUNA 06,-34.618290103557719,-58.442229570055801,,,,,,,,,,,,0
429,LIBRERIA,,HAPPY BOOKS,,,,,RIVADAVIA AV. 5462,RIVADAVIA AV.,5462,CABALLITO,COMUNA 06,-34.621136679919751,-58.442143230446980,,,,,,,,,,,,0
430,ESPACIO DE EXHIBICION,MUSEO,MUSEO ERNESTO CHE GUEVARA,,,,,ROJAS 129,ROJAS,129,CABALLITO,COMUNA 06,-34.618895500000001,-58.442075000000003,4903-3285,MUSEOCHEGUEVARA@YAHOO.COM.AR,WWW.MUSEOCHEGUEVARAARGENTINA.BLOGSPOT.COM,,,,,,,,,0
431,LIBRERIA,,LIBROS INFINITO,,,,,RIVADAVIA AV. 5450,RIVADAVIA AV.,5450,CABALLITO,COMUNA 06,-34.621105800000002,-58.441954000000003,1560366209,librosinfinito@gmail.com,s/d,,,,,,,,,0
432,ESPACIO FERIAL,LIBRERIA,PLAZOLETA PRIMERA JUNTA,,,,,AV. RIVADAVIA Y DEL BARCO CENTERA,AV. RIVADAVIA Y DEL BARCO CENTERA,,CABALLITO,COMUNA 06,-34.620710593646145,-58.441415931031315,,,,,,,,,,,,0
433,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA ASOCIACION DRAGON,,,,,HUALFIN 933,HUALFIN,933,CABALLITO,COMUNA 06,-34.623826888801496,-58.441269556491065,4432-7969,BIBLIOTECADELDRAGON@GMAIL.COM,HTTP://BIBLIODELDRAGON.BLOGSPOT.COM.AR,,,,,,,,,0
434,ESPACIO ESCENICO,SALA DE TEATRO,OESTE USINA CULTURAL,ESPACIO DE FORMACION,SI,,,BARCO CENTENERA DEL 143,BARCO CENTENERA DEL,143,CABALLITO,COMUNA 06,-34.621432400000003,-58.441071100000002,1149013111,CONTACTO@OESTEUSINACULTURAL.COM.AR,WWW.OESTEUSINACULTURAL.COM.AR,WWW.FACEBOOK.COM/OESTE-USINA-CULTURAL-1432965350352137/,,https://www.instagram.com/oesteusinacultural/,ESCENA,,,,,50
435,LIBRERIA,,BOOK'S DALI - PTO 4 PRA.JUNTA,,,,,RIVADAVIA AV. 5400,RIVADAVIA AV.,5400,CABALLITO,COMUNA 06,-34.620404259021697,-58.441021381876268,,,s/d,,,,,,,,,0
436,BAR,CULTURAL,BAR. PELUQUERIA Y BARBERIA LA EPOCA,,,,,GUAYAQUIL 877,GUAYAQUIL,877,CABALLITO,COMUNA 06,-34.621815200000000,-58.440416300000003,4903-7799,,WWW.BARBERIALAEPOCA.COM,,,,,,,,,0
437,LIBRERIA,,DISTRIMANI LIBROS,,,,,NEUQUEN 691,NEUQUEN,691,CABALLITO,COMUNA 06,-34.615885353278223,-58.440313028689829,4902-8431 / 15-3033-2951,distrimani2011@hotmail.com,https://www.facebook.com/distrimani/,,,,,,,,,0
438,LIBRERIA,,ORSON LIBROS,,,,,"ALBERDI, JUAN BAUTISTA AV. 872","ALBERDI, JUAN BAUTISTA AV.",872,CABALLITO,COMUNA 06,-34.623051400000001,-58.440155799999999,49012977,orson.libreros@gmail.com,s/d,,,,,,,,,0
439,LIBRERIA,,LIBROS CATANAEL,,,,,YERBAL 596,YERBAL,596,CABALLITO,COMUNA 06,-34.618183999999999,-58.439386700000000,54-11-33956636,info@libroscatanael.com.ar,http://tiendacatanael.mercadoshops.com.ar/,,,,,,,,,0
440,CENTRO CULTURAL,,FUNDACION HASTINAPURA,,,GUAYAQUIL,,GUAYAQUIL 777,GUAYAQUIL,777,CABALLITO,COMUNA 06,-34.621660599999998,-58.439129999999999,4904-1826 / 4563-7271,AQUILESODISEA@GMAIL.COM CABALLITO@HASTINAPURA.ORG.AR,,,,,,,,,,0
441,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR GRAL. ALVEAR,,,,,AVELLANEDA 542,AVELLANEDA,542,CABALLITO,COMUNA 06,-34.614459049766246,-58.438724011361828,,ASOCIACIONALVEAR@YAHOO.COM.AR,,,,,CONABIP,,,,,0
442,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR FEDERICO LACROZE,,,,,THOMPSON 502,THOMPSON,502,CABALLITO,COMUNA 06,-34.624974005905251,-58.439192794145654,,BPFLACROZE@GMAIL.COM,,,,,CONABIP,,,,,0
443,BAR,NOTABLE,EL TOKIO,,,,,ALVAREZ JONTE AV. 3550,ALVAREZ JONTE AV.,3550,VILLA SANTA RITA,COMUNA 11,-34.612404300000001,-58.491572599999998,4568-4999,,,,,@bareltokio,,,,,,0
444,BAR,NOTABLE,DON JUAN,,,,,CAMARONES 2702,CAMARONES,2702,VILLA SANTA RITA,COMUNA 11,-34.611193061408116,-58.478215866808824,4586-0679,,,,,,,,,,,0
445,ESPACIO ESCENICO,SALA DE TEATRO,ABRE CLUB DE ARTE,ESPACIO DE FORMACION,SI,,,GONZALEZ. ELPIDIO 2764,GONZALEZ. ELPIDIO,2764,VILLA SANTA RITA,COMUNA 11,-34.608532722359861,-58.481063560047566,4582 0787,ABRETEATRO@GMAIL.COM,WWW.CLUBDEARTE.BLOGSPOT.COM.AR,WWW.FACEBOOK.COM/PAGES/ABRE-CLUB-DE-ARTE/132487810154243,,,ARTEI,,,,,40
446,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR CORPORACION MITRE,,,,,ALVAREZ JONTE AV. 3176,ALVAREZ JONTE AV.,3176,VILLA SANTA RITA,COMUNA 11,-34.609908042460169,-58.487472855657302,,,,,,,CONABIP,,,,,0
447,BIBLIOTECA,DGLB-GCBA,BIBLIOTECA RAFAEL OBLIGADO,,,,,CRAINQUEVILLE 2233,CRAINQUEVILLE,2233,VILLA SANTA RITA,COMUNA 11,-34.609581395303358,-58.483920039059974,4581-8640,BIBLIOTECA_OBLIGADO@BUENOSAIRES.GOB.AR,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/bibliotecasba/,,https://www.instagram.com/bibliotecasba/,,,,,,0
448,ESPACIO ESCENICO,SALA DE TEATRO,LA HUEVERIA,,SI,,,GONZALEZ. JOAQUIN V. 1583,GONZALEZ. JOAQUIN V.,1583,VILLA SANTA RITA,COMUNA 11,-34.618594799999997,-58.490210500000003,,,,,,,,,,,,0
449,LIBRERIA,,LIBROS REVUELTOS,,,,,"DIAZ, CESAR, GRAL. 2971","DIAZ, CESAR, GRAL.",2971,VILLA SANTA RITA,COMUNA 11,-34.614834999999999,-58.479908600000002,,,,,,,,,,,,0
450,BAR,CULTURAL,ESQUINA JONTE,,,,,ALVAREZ JONTE AV. 5799,ALVAREZ JONTE AV.,5799,MONTE CASTRO,COMUNA 10,-34.628298800000003,-58.516273200000001,,,,,,,,,,,,0
451,BAR,NOTABLE,OLIMPO,,,,,ARREGUI 5794,ARREGUI,5794,MONTE CASTRO,COMUNA 10,-34.626749400000001,-58.518300400000001,4639-5532,,,,,,,,,,,0
452,BAR,CULTURAL,CAFE MIRANDA,,,,,LOPE DE VEGA AV. 1501,LOPE DE VEGA AV.,1501,MONTE CASTRO,COMUNA 10,-34.625940499999999,-58.509396199999998,,,,,,,,,,,,0
453,ESPACIO DE FORMACION,CENTRO CULTURAL DEL PCB,CENTRO CULTURAL EL TALLER,,SI,,,GONZALEZ. ELPIDIO 4967,GONZALEZ. ELPIDIO,4967,MONTE CASTRO,COMUNA 10,-34.623979499999997,-58.505319000000000,,CCELTALLER@GMAIL.COM,HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP,,,,,,,,,0
454,ESPACIO ESCENICO,SALA DE TEATRO,CINE TEATRO SAN PEDRO,,,,,BERMUDEZ 2052,BERMUDEZ,2052,MONTE CASTRO,COMUNA 10,-34.619678593010306,-58.509310340763079,4639-1879,,WWW.CINETEATROSANPEDRO.BLOGSPOT.COM.AR,WWW.FACEBOOK.COM/CINE-TEATRO-SAN-PEDRO-869524089783959/,,,,,,,,0
455,CALESITA,,CALESITA DEL PARQUE INFANTIL DON JOSE,,,,,ALVAREZ JONTE AV. 4767,ALVAREZ JONTE AV.,4767,MONTE CASTRO,COMUNA 10,-34.619237718868241,-58.505815432141624,,,,,,,,,,,,0
456,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO RIO COLORADO,ESPACIO DE FORMACION,SI,,,SEGUROLA AV. 2355/57,SEGUROLA AV.,2355,MONTE CASTRO,COMUNA 10,-34.614568700000000,-58.505668900000003,4566-4440,NORMALICHT@HOTMAIL.COM,,WWW.FACEBOOK.COM/TEATRORIOCOLORADO/,@NORMALICHT,https://www.instagram.com/teatroriocolorado/,ARTEI,,,,,50
457,LIBRERIA,,CASASSA Y LORENZO LIBREROS. CASA CENTRAL.,,,,,ALVAREZ JONTE AV. 4462,ALVAREZ JONTE AV.,4462,MONTE CASTRO,COMUNA 10,-34.617826661899549,-58.501952465326745,4567-0904,ventas@casassaylorenzo.com,https://www.casassaylorenzo.com/,,"Libros importados, nacionales, técnicos, escolares y muchos más",,,,,,,0
458,LIBRERIA,,MARTIN FIERRO,,,,,LOPE DE VEGA AV. 1773,LOPE DE VEGA AV.,1773,MONTE CASTRO,COMUNA 10,-34.623733000000001,-58.512259700000001,,,,,,,,,,,,0
459,LIBRERIA,,CRISMAR LIBROS,,,,,ALVAREZ JONTE AV. 4849,ALVAREZ JONTE AV.,4849,MONTE CASTRO,COMUNA 10,-34.620068619999998,-58.506457259999998,,,,,,,,,,,,0
460,BIBLIOTECA,ESCOLAR,BIBLIOTECA - ESCUELA TECNICA 27 DE 18 HIPOLITO YRIGOYEN,,,,,VIRGILIO 1980,VIRGILIO,1980,MONTE CASTRO,COMUNA 10,-34.621466550776582,-58.517459410614812,4567-2244 / 4341,SARA_PURITA@HOTMAIL.COM,HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/EDUCACION/BIBLEDUC/RED_SECUNBIB/INDEX.PHP?MENU_ID=33286,,,,SECUNBIB,,,,,0
461,ESPACIO DE EXHIBICION,MUSEO,MUSEO DEL AUTOMOVIL,,,,,IRIGOYEN 2265,IRIGOYEN,2265,VILLA REAL,COMUNA 10,-34.620829999999998,-58.526186099999997,4644-0828,INFO@MUSEODELAUTOMOVIL.COM,WWW.MUSEODELAUTOMOVIL.ORG.AR,,,,,,,,,0
462,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,GREENS MUSIC CLUB,,SI,,,LOPE DE VEGA AV. 2542,LOPE DE VEGA AV.,2542,VILLA REAL,COMUNA 10,-34.618191177276941,-58.519703734456940,4078-4004 / 6423-8444,bandas@greensmusicclub.com.ar,,https://www.facebook.com/greenslive.arg/,,,,,,,,220
463,CENTRO CULTURAL,,CASA POPULAR VIENTOS DEL PUEBLO,,,,,IRIGOYEN 2587,IRIGOYEN,2587,VILLA REAL,COMUNA 10,-34.617989399999999,-58.529880499999997,,,WWW.CASAPOPULARVIENTODELPUEBLO.BLOGSPOT.COM,,,,,,,,,0
464,CALESITA,,LA CALESITA DE LEONARDO,,,,,BEIRO. FRANCISCO AV. 5340,BEIRO. FRANCISCO AV.,5340,VILLA REAL,COMUNA 10,-34.614399300000002,-58.525518800000000,,,,,,,,,,,,0
465,LIBRERIA,,ABC LIBRERIAS,,,LOPE DE VEGA,,LOPE DE VEGA AV. 3128,LOPE DE VEGA AV.,3128,VILLA REAL,COMUNA 10,-34.613865215295021,-58.525419050387178,,,,,,,,,,,,0
466,ESPACIO ESCENICO,SALA DE TEATRO,SALA LA NAZCA,,,,,NAZCA AV. 1000,NAZCA AV.,1000,FLORES,COMUNA 07,-34.621306624552034,-58.473964832604764,4586-3599,,,,,,,,,,,0
467,ESPACIO ESCENICO,SALA DE TEATRO,GRUPO DE TEATRO ALMA MATE DE FEORES,,,,,NAZCA AV.,NAZCA AV.,,FLORES,COMUNA 07,-34.621185400000002,-58.473904400000002,,ALMAMATEDEFLORES@GMAIL.COM,WWW.ALMAMATE.COM.AR,,,,,,,,,0
468,ESPACIO DE EXHIBICION,MUSEO,MUSEO KIM YUN SHIN,,,,,"VALLESE, FELIPE 2945","VALLESE, FELIPE",2945,FLORES,COMUNA 07,-34.623340796654041,-58.473772911415786,4612 0583,ACADEMIA2000@HOTMAIL.COM,http://www.museokimyunshin.com/,https://www.facebook.com/museo.kimyunshin,,https://www.instagram.com/kim_yun_shin/,,,,,,0
469,CALESITA,,CALESITA PEKAS,,,,,GAONA AV. 3036,GAONA AV.,3036,FLORES,COMUNA 07,-34.617600701367103,-58.468353523665854,,,,,,,,,,,,0
470,ESPACIO DE FORMACION,CENTRO CULTURAL DEL PCB,ROBERTO ARLT,,SI,,,AV. AVELLANEDA 2547,AV. AVELLANEDA,2547,FLORES,COMUNA 07,-34.624834900000003,-58.466948600000002,4613-8304,,,,,,,,,,,0
471,ESPACIO DE FORMACION,,TALLER DE ARTES Y OFICIOS,,,,,AV. BRASIL 200,AV. BRASIL,200,FLORES,COMUNA 07,-34.624834900000003,-58.466948600000002,,,,,,,,,,,,0
472,CENTRO CULTURAL,,LA CAZONA DE FLORES,,,,,MORON 2453,MORON,2453,FLORES,COMUNA 07,-34.622303500000001,-58.466680500000002,6295-6295 / 2053-9724,DHPICOTTO@GMAIL.COM,,,,,,,,,,150
473,DISQUERIA,,DISCOS OPUS,,,,,ESTADO PLURINACIONAL DE BOLIVIA 47,ESTADO PLURINACIONAL DE BOLIVIA,47,FLORES,COMUNA 07,-34.629016800000002,-58.465746299999999,4637-3932,INFO@DISCOSOPUS.COM.AR,WWW.DISCOSOPUS.COM.AR,,,,,,,,,0
474,CENTRO CULTURAL,,ESPACIO CULTURAL MARCO DEL PONT,ESPACIO ESCENICO,SI,,,ARTIGAS. JOSE GERVASIO. GRAL. 202,ARTIGAS. JOSE GERVASIO. GRAL.,202,FLORES,COMUNA 07,-34.627440367546939,-58.464953329550319,4612-2412,CCMARCODELPONT@BUENOSAIRES.GOV.AR,WWW.CENTROCULTURALMARCODELPONT.BLOGSPOT.COM,WWW.FACEBOOK.COM/CCMPONT/,,,,,,,,0
476,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,LA FORJA,BAR,SI,,,BACACAY 2414,BACACAY,2414,FLORES,COMUNA 07,-34.626527007220325,-58.464007867492924,46373955,INFO@BARGOGLIO.COM.AR,https://bargoglio.com.ar/,https://www.facebook.com/BargoglioenFlores/,@Bargoglio,https://www.instagram.com/bargoglioenflores/,,,,,,0
477,CALESITA,,CALESITA DE LA PLAZA GENERAL PUEYRREDON,,,,,YERBAL,YERBAL,,FLORES,COMUNA 07,-34.628088679639347,-58.463723173944906,,,,,,,,,,,,0
478,LIBRERIA,,DISTAL,,,,,RIVADAVIA AV. 6870,RIVADAVIA AV.,6870,FLORES,COMUNA 07,-34.628794001009034,-58.462221591682180,(54 011) 5235-1527,rivadavia6870@distalnet.com,https://www.distal-libros.com.ar/,,libros de todas las áreas,,,,,,,0
479,ESPACIO ESCENICO,SALA DE TEATRO,EL TEATRO DE FLORES,,,,,RIVERA INDARTE AV. 129,RIVERA INDARTE AV.,129,FLORES,COMUNA 07,-34.630419109343372,-58.462145941615553,4961-9562,,http://www.teatroflores.com/,https://www.facebook.com/TeatroFlores?ref=hl,,,,,,,,40
480,LIBRERIA,,PUERTA DEL SOL,,,,,PEDERNERA 88,PEDERNERA,88,FLORES,COMUNA 07,-34.630344109986773,-58.463611344403084,,,,,,,,,,,,0
481,LIBRERIA,,JUAN JOSE ARA. LIBROS DE MEDICINA,,,,,BACACAY 2547,BACACAY,2547,FLORES,COMUNA 07,-34.626988609999998,-58.465848860000001,,,,,,,,,,,,0
482,LIBRERIA,,DISTAL LIBROS,,,RIVADAVIA II,,RIVADAVIA AV. 6879,RIVADAVIA AV.,6879,FLORES,COMUNA 07,-34.628632869999997,-58.462251129999999,,,,,,,,,,,,0
483,MONUMENTOS Y LUGARES HISTORICOS,,CASA MARCO DEL PONT,,,,,ARTIGAS. JOSE GERVASIO. GRAL. 202,ARTIGAS. JOSE GERVASIO. GRAL.,202,FLORES,COMUNA 07,-34.627420000000001,-58.464930000000003,,,,,,,,,,,,0
484,SALA DE CINE,,ATLAS FLORES,,,,,AV. RIVERA INDARTE 44,AV. RIVERA INDARTE,44,FLORES,COMUNA 07,-34.629365000000000,-58.462469499999997,5032-8527,INFO@ATLASCINES.COM.AR,https://www.atlascines.com/,https://www.facebook.com/AtlasCines,@ATLAS_CINES,https://www.instagram.com/atlascines/,,,,,,1263
485,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA UFLO,,,,,NAZCA AV. 274,NAZCA AV.,274,FLORES,COMUNA 07,-34.628720835187224,-58.470638687889810,4610-9050 INT. 118,"INFORMES@UFLO.EDU.AR, BPULEIO@UFLO.EDU.AR",WWW.UFLO.EDU.AR,,,,AMICUS,,,,,0
486,BIBLIOTECA,COMUNITARIA Y/O EXTRANJERA,BIBLIOTECA AGUSTINIANA,,,,,NAZCA AV. 390,NAZCA AV.,390,FLORES,COMUNA 07,-34.627612840665734,-58.471131174381320,4572-2728,,,,,,,,,,,0
487,ESPACIO DE EXHIBICION,MUSEO,"MUSEO HISTORICO VECINAL DE FLORES ""BLANCA ANGELICA GANDINI""",,,,,NAZCA AV. 371,NAZCA AV.,371,FLORES,COMUNA 07,-34.627701100000003,-58.470868000000003,,CVECINOSDEFLORES@YAHOO.COM.AR,,,,,,,,,,0
488,BIBLIOTECA,POPULAR,BIBLIOTECA POPULARLEOPOLDO MARECHAL,,,,,"TRELLES, MANUEL R. 948","TRELLES, MANUEL R.",948,FLORES,COMUNA 07,-34.615511348136039,-58.460179747985940,,MARECHAL@DATACOOP.COM.AR,,,,,CONABIP,,,,,0
489,CENTRO CULTURAL,,ALIANZA FRANCESA,,,GRANADEROS,,GRANADEROS 61,GRANADEROS,61,FLORES,COMUNA 07,-34.626744100000003,-58.459221900000003,4631-5166 / 4632-1291,MARISA.GOYTIA@ALIANZAFRANCESA.ORG.AR,WWW.ALIANZAFRANCESA.ORG.AR,,,,,,,,,0
490,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA. HEMEROTECA Y ARCHIVO,,,,,FRAY LUIS BELTRAN 125,FRAY LUIS BELTRAN,125,FLORES,COMUNA 07,-34.625778320589717,-58.458496042522050,(011) 4631-8893,NFORMES@CEDINCI.ORG,HTTP://WWW.CEDINCI.ORG/SERVICIOS.HTM,,,,CLACSO,,,,,0
491,LIBRERIA,,ACME AGENCY,,,CAMACUA,,CAMACUA 87,CAMACUA,87,FLORES,COMUNA 07,-34.628594550000003,-58.458370649999999,,,,,,,,,,,,0
492,LIBRERIA,,YENNY (FLORES),,,,,RIVADAVIA AV. 6527,RIVADAVIA AV.,6527,FLORES,COMUNA 07,-34.627213300000001,-58.458250800000002,,,,,,,,,,,,0
493,CENTRO CULTURAL,,ASOCIACION DANTE ALIGHIERI,,,COMODORO MARTIN RIVADAVIA,,RIVADAVIA AV. 6460,RIVADAVIA AV.,6460,FLORES,COMUNA 07,-34.627019065625205,-58.457357118387186,4631-3604,FLORES@DANTE.EDU.AR,WWW.DANTE.EDU.AR,,,,,,,,,0
494,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO GANESHA,,,,,"ALVAREZ, DONATO, Tte. Gral. 524","ALVAREZ, DONATO, Tte. Gral.",524,FLORES,COMUNA 07,-34.619635736579312,-58.456865446959597,,,-,https://www.facebook.com/teatroganesha/,,,,,,,,30
495,CENTRO CULTURAL,,LA CASONA DE LOS AMIGOS,,,,,ALBERDI. JUAN BAUTISTA AV. 2020,ALBERDI. JUAN BAUTISTA AV.,2020,FLORES,COMUNA 07,-34.629749727257710,-58.456706877320038,4601-3566 / 5977-4565,SILVIASARGONI@YAHOO.COM,,,,,,,,,,150
496,BAR,CULTURAL,LOS MEJORES,,,,,CARABOBO AV. 17,CARABOBO AV.,17,FLORES,COMUNA 07,-34.626986214956808,-58.456675792857801,,,,,,,,,,,,0
497,LIBRERIA,,EDITORA PATRIA GRANDE,,,,,RIVADAVIA AV. 6369,RIVADAVIA AV.,6369,FLORES,COMUNA 07,-34.626349500000003,-58.456118600000003,,,,,,,,,,,,0
498,BAR,CULTURAL,ESQUINA ALBERDI,,,,,ALBERDI. JUAN BAUTISTA AV. 1907,ALBERDI. JUAN BAUTISTA AV.,1907,FLORES,COMUNA 07,-34.629331399999998,-58.455730699999997,,,,,,,,,,,,0
499,ESPACIO DE EXHIBICION,MUSEO,"MUSEO DE LA ASOCIACION ATLETICA ARGENTINO JUNIORS ""EL TEMPLO DEL FUTBOL""",,,,,GAVILAN 2151,GAVILAN,2151,FLORES,COMUNA 07,-34.626236500000005,-58.460799599999994,,MUSEO@ARGENTINOSJUNIORS.COM.AR,https://www.argentinosjuniors.com.ar/el-club/museo/,http://facebook.com/AAAJOficial/,,https://www.instagram.com/aaajoficial/,,,,,,0
500,BIBLIOTECA,DGLB-GCBA,BIBLIOTECA JAVIER VILLAFAÑE  (CON ANEXO INFANTIL),,,,,ANA MARIA JANER 0,ANA MARIA JANER,0,FLORES,COMUNA 07,-34.647275939414527,-58.435663065039051,4919-0058,BIBLIOTECA_VILLAFAÑE @BUENOSAIRES.GOB.AR,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/bibliotecasba/,,https://www.instagram.com/bibliotecasba/,,,,,,0
501,BAR,MILONGA Y/O TANGUERIA,CLUB PEDRO ECHAGÜE,,,,,PORTELA 836,PORTELA,836,FLORES,COMUNA 07,-34.641852000000000,-58.468613200000000,4637-0843,SECRETARIA@ICDPEDROECHAGUE.COM.AR,WWW.ICDPEDROECHAGUE.COM.AR/ACTIVIDAD.ASPX?IDACT=14,,,,,,,,,0
502,CENTRO CULTURAL,,LA TURBA,,,,,VARELA AV. 503,VARELA AV.,503,FLORES,COMUNA 07,-34.635571356797591,-58.462934205231818,4612-5174 / 6597-5273 / 5781-0634,LATURBABARCULTURAL@GMAIL.COM,,,,,,,,,,0
503,MONUMENTOS Y LUGARES HISTORICOS,,CASA DEL DR. BALDOMERO FERNANDEZ MORENO,,,,,BILBAO. FRANCISCO 2384,BILBAO. FRANCISCO,2384,FLORES,COMUNA 07,-34.634990999999999,-58.459952000000001,,,,,,,,,,,,0
